date,arabica_usd_lb,robusta_usd_tonne,usd_inr,arabica_inr_kg,robusta_inr_kg,source
2026-03-20,2.1548,3478.8,93.6200,444.74,325.69,Buon Ma Thuot Coffee API
2026-03-27,2.1548,3417.3,94.8100,450.40,323.99,Buon Ma Thuot Coffee API
2026-04-03,2.177,3439.9,93.1000,446.83,320.25,Buon Ma Thuot Coffee API
2026-04-10,2.1634,3427.4,92.8900,443.04,318.37,Buon Ma Thuot Coffee API
2026-04-17,2.1938,3433.9,92.8200,448.92,318.73,Buon Ma Thuot Coffee API
2026-04-24,2.1857,3430.5,94.2500,454.16,323.32,Buon Ma Thuot Coffee API
2026-05-01,2.1584,3425.1,94.9200,451.67,325.11,Buon Ma Thuot Coffee API
2026-05-08,2.1566,3413.1,94.4900,449.25,322.50,Buon Ma Thuot Coffee API
2026-05-15,2.174,3433.3,95.9700,459.97,329.49,Buon Ma Thuot Coffee API
2026-05-22,2.15,3427.1,95.7000,453.61,327.97,Buon Ma Thuot Coffee API
2026-05-31,2.15,3427.1,95.0000,450.29,325.57,Buon Ma Thuot Coffee API
2026-06-06,2.15,3427.1,94.9500,450.06,325.40,Buon Ma Thuot Coffee API
2026-06-11,2.15,3427.1,95.7600,453.90,328.18,Buon Ma Thuot Coffee API
2026-06-20,2.591,3427.1,94.3300,538.83,323.28,Buon Ma Thuot Coffee API
2026-06-28,2.7575,3427.1,94.4000,573.88,323.52,Buon Ma Thuot Coffee API
2026-07-05,2.7575,3427.1,95.2100,578.81,326.29,Buon Ma Thuot Coffee API
2026-07-12,3.186,3427.1,95.3400,669.66,326.74,Buon Ma Thuot Coffee API
2026-07-19,3.186,3427.1,96.2800,676.26,329.96,Buon Ma Thuot Coffee API
2026-07-26,3.044,3427.1,96.5600,648.00,330.92,Buon Ma Thuot Coffee API
2026-08-02,3.044,3427.1,95.3900,640.15,326.91,Buon Ma Thuot Coffee API
2026-08-09,3.044,3427.1,95.2100,638.94,326.29,Buon Ma Thuot Coffee API
2026-08-16,3.352,3427.1,95.4300,705.22,327.05,Buon Ma Thuot Coffee API
2026-08-23,3.352,3427.1,95.7000,707.21,327.97,Buon Ma Thuot Coffee API
2026-08-30,3.249,3427.1,95.3900,683.26,326.91,Buon Ma Thuot Coffee API
2026-09-06,3.249,3427.1,94.4900,676.81,323.83,Buon Ma Thuot Coffee API
2026-09-12,3.249,3427.1,95.5600,684.48,327.49,Buon Ma Thuot Coffee API
